"","B14006_001","B14006_002","B14006_003","B14006_004","B14006_005","B14006_006","B14006_007","B14006_008","B14006_009","B14006_010","B14006_011","B14006_012","B14006_013","B14006_014","B14006_015","B14006_016","B14006_017","B14006_018","B14006_019","B14006_020","B14006_021","B16009_001","B16009_002","B16009_003","B16009_004","B16009_005","B16009_006","B16009_007","B16009_008","B16009_009","B16009_010","B16009_011","B16009_012","B16009_013","B16009_014","B16009_015","B16009_016","B16009_017","B16009_018","B16009_019","B16009_020","B16009_021","B16009_022","B16009_023","B16009_024","B16009_025","B16009_026","B16009_027","B19013_001","B19013A_001","B19013B_001","B19013C_001","B19013D_001","B19013E_001","B19013F_001","B19013G_001","B19013H_001","B19013I_001","B19019_001","B19019_002","B19019_003","B19019_004","B19019_005","B19019_006","B19019_007","B19019_008","B19049_001","B19049_002","B19049_003","B19049_004","B19049_005","B25099_001","B25099_002","B25099_003","B25119_001","B25119_002","B25119_003","B10010_001","B10010_002","B10010_003","B19113_001","B19113A_001","B19113B_001","B19113C_001","B19113D_001","B19113E_001","B19113F_001","B19113G_001","B19113H_001","B19113I_001","B19119_001","B19119_002","B19119_003","B19119_004","B19119_005","B19119_006","B19119_007","B19121_001","B19121_002","B19121_003","B19121_004","B19121_005","B19125_001","B19125_002","B19125_003","B19126_001","B19126_002","B19126_003","B19126_004","B19126_005","B19126_006","B19126_007","B19126_008","B19126_009","B19126_010","B19126_011","B19301_001","B19301A_001","B19301B_001","B19301C_001","B19301D_001","B19301E_001","B19301F_001","B19301G_001","B19301H_001","B19301I_001","B22003_001","B22003_002","B22003_003","B22003_004","B22003_005","B22003_006","B22003_007","B08137_001","B08137_002","B08137_003","B08137_004","B08137_005","B08137_006","B08137_007","B08137_008","B08137_009","B08137_010","B08137_011","B08137_012","B08137_013","B08137_014","B08137_015","B08137_016","B08137_017","B08137_018","B08137_019","B08137_020","B08137_021","B08537_001","B08537_002","B08537_003","B08537_004","B08537_005","B08537_006","B08537_007","B08537_008","B08537_009","B08537_010","B08537_011","B08537_012","B08537_013","B08537_014","B08537_015","B08537_016","B08537_017","B08537_018","B08537_019","B08537_020","B08537_021","B09001_001","B09001_002","B09001_003","B09001_004","B09001_005","B09001_006","B09001_007","B09001_008","B09001_009","B09001_010","B09008_001","B09008_002","B09008_003","B09008_004","B09008_005","B09008_006","B09008_007","B09008_008","B09008_009","B09008_010","B09008_011","B09008_012","B11001_001","B11001_002","B11001_003","B11001_004","B11001_005","B11001_006","B11001_007","B11001_008","B11001_009","B11017_001","B11017_002","B11017_003","B12007_001","B12007_002","B12007A_001","B12007A_002","B12007C_001","B12007C_002","B12007D_001","B12007D_002","B12007E_001","B12007E_002","B12007F_001","B12007F_002","B12007G_001","B12007G_002","B12007H_001","B12007H_002","B12007I_001","B12007I_002","B16010_001","B16010_002","B16010_003","B16010_004","B16010_005","B16010_006","B16010_007","B16010_008","B16010_009","B16010_010","B16010_011","B16010_012","B16010_013","B16010_014","B16010_015","B16010_016","B16010_017","B16010_018","B16010_019","B16010_020","B16010_021","B16010_022","B16010_023","B16010_024","B16010_025","B16010_026","B16010_027","B16010_028","B16010_029","B16010_030","B16010_031","B16010_032","B16010_033","B16010_034","B16010_035","B16010_036","B16010_037","B16010_038","B16010_039","B16010_040","B16010_041","B16010_042","B16010_043","B16010_044","B16010_045","B16010_046","B16010_047","B16010_048","B16010_049","B16010_050","B16010_051","B16010_052","B16010_053","B25081_001","B25081_002","B25081_003","B25081_004","B25081_005","B25081_006","B25081_007","B25081_008","B25082_001","B25082_002","B25082_003","B25102_001","B25102_002","B25102_003","B25102_004","B25102_005","B25102_006","B25102_007","B25102_008","B25102_009","B25102_010","B25102_011","B25102_012","B25102_013","B25102_014","B25102_015","B25103_001","B25103_002","B25103_003","B992522_001","B992522_002","B992522_003","B992522_004","B992522_005","B992522_006","B992522_007","B27015_001","B27015_002","B27015_003","B27015_004","B27015_005","B27015_006","B27015_007","B27015_008","B27015_009","B27015_010","B27015_011","B27015_012","B27015_013","B27015_014","B27015_015","B27015_016","B27015_017","B27015_018","B27015_019","B27015_020","B27015_021","B27015_022","B27015_023","B27015_024","B27015_025","B27015_026","C02003_001","C02003_002","C02003_003","C02003_004","C02003_005","C02003_006","C02003_007","C02003_008","C02003_009","C02003_010","C02003_011","C02003_012","C02003_013","C02003_014","C02003_015","C02003_016","C02003_017","C02003_018","C02003_019"
"Stafford County Public Schools, Virginia",122666,6150,2132,67,164,605,512,508,229,47,4018,116516,36946,1787,1826,7536,8210,8885,6565,2137,79570,119349,5951,1791,1361,319,44,33,34,4160,3162,642,75,226,55,113398,26258,23431,1726,698,239,164,87140,76315,5364,3109,1631,721,97110,98389,98562,111125,92500,NA,64531,97500,98627,73857,97110,46186,95569,108851,113285,127222,110179,101343,97110,51915,89416,125597,58255,110644,118729,66422,97110,110644,56471,105568,107443,173558,106322,110108,104476,112500,96250,NA,63333,91500,110945,73357,106322,94010,107653,114629,125995,109223,101620,106322,52319,78829,125448,149023,106322,102689,110722,106322,119023,117913,121831,63391,68024,54375,93347,60236,46002,80023,36732,39756,34593,44909,34501,22385,17513,16403,40397,21276,42178,1837,536,1301,40341,1503,38838,62814,50191,12623,47308,37706,9602,9764,7563,2201,2348,2047,301,576,435,141,613,514,99,2205,1926,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37038,37002,5413,3348,1911,5952,6243,6944,7191,36,36980,1935,1907,698,1209,28,35045,34980,29255,1142,4583,65,42178,34311,27934,6377,1795,4582,7867,6352,1515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81283,6061,2884,1715,979,57,77,56,3177,2559,359,164,60,35,20194,13418,11615,1298,295,169,41,6776,6036,370,163,158,49,25774,19291,17113,1053,652,332,141,6483,5729,249,311,120,74,29254,24023,21289,915,1059,498,262,5231,4564,220,202,222,23,32435,27407,7701,2472,5229,323,19383,5028,10190261100,8716584900,1473676200,32435,27407,1173,3623,4037,8090,10149,335,5028,612,635,614,1613,1319,235,2540,2581,2332,32435,27407,7690,19717,5028,1230,3798,125303,6070,4708,2680,3025,1362,13941,11161,8638,4686,2780,18522,16109,14700,3234,2413,18859,17180,16198,2695,1679,67911,64580,63117,7222,3331,129650,124965,91530,22426,687,3447,132,6743,4685,666,4019,4377,1669,333,1136,133,1106,299,9
"Staunton City Public Schools, Virginia",21985,3963,1326,105,45,419,251,267,188,51,2637,18022,3181,250,120,678,631,667,685,150,14841,21318,3805,1018,1010,0,8,0,0,2787,2672,31,84,0,0,17513,2121,2040,57,24,0,0,15392,14848,260,279,5,0,38501,39612,29974,NA,38523,NA,NA,27120,39787,30921,38501,19086,55049,70332,57071,81075,29155,34113,38501,15357,41250,54188,27393,56788,65186,41993,38501,56788,23096,36390,36882,NA,61671,63435,43750,NA,NA,NA,NA,34500,63803,30066,61671,57871,66922,62639,81575,28919,33750,61671,34638,41657,74953,90788,61671,49239,65424,61671,71551,80747,70124,30486,35368,25357,37426,29188,25211,40903,24753,26768,16993,NA,10580,NA,12176,6534,27047,9202,10495,1167,689,478,9328,1034,8294,10344,6646,3698,8458,5668,2790,904,453,451,23,0,23,513,233,280,217,124,93,229,168,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4574,4498,683,667,279,759,727,662,721,76,4498,559,550,346,204,9,3939,3925,2502,163,1260,14,10495,5939,4136,1803,477,1326,4556,4049,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16896,2604,909,877,0,32,0,0,1695,1675,0,20,0,0,5416,3181,3076,82,23,0,0,2235,2177,16,36,6,0,4149,2691,2628,0,63,0,0,1458,1422,29,7,0,0,4727,3217,3122,27,63,5,0,1510,1459,14,37,0,0,6054,3937,738,123,615,0,3199,2117,1207612300,809677400,397934900,6054,3937,439,1770,792,439,354,143,2117,268,828,404,431,112,74,1407,1393,1440,6054,3937,1298,2639,2117,625,1492,22508,5455,4043,2298,3034,1412,5350,4444,3364,2292,906,4678,4234,3841,1126,444,3354,3046,2939,448,308,3671,3374,3104,657,297,23989,23273,20026,2891,23,197,0,136,716,73,643,643,443,47,34,36,83,73,0
"Suffolk City Public Schools, Virginia",80725,8901,3813,307,336,1059,853,663,534,61,5088,71824,20601,1203,1305,4033,3955,4043,4755,1307,51223,78078,8379,2793,2727,42,17,7,0,5586,5419,76,33,58,0,69699,13136,12603,221,119,122,71,56563,53771,1215,832,430,315,66085,80169,47205,2499,76250,NA,39375,66625,80173,66500,66085,34915,70234,82198,88328,78929,86477,65905,66085,38264,70845,77949,39623,80769,87444,49838,66085,80769,33790,64583,50518,23269,78565,90098,58966,NA,95481,NA,91116,75596,90128,91920,78565,68611,81813,90960,78512,85909,66638,78565,34733,53078,92407,108977,78565,78103,78898,78565,93175,98779,90139,38622,52372,47853,59875,34905,28708,45646,29135,35757,21942,19988,42035,NA,19982,13529,36070,23671,30492,3707,1767,1940,26785,1265,25520,39123,30559,8564,34127,27190,6937,2991,2066,925,169,12,157,321,75,246,491,350,141,1024,866,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21850,21849,3081,2695,1451,4098,3648,3283,3593,1,21849,1308,1209,706,503,99,20541,20492,13443,761,6288,49,30492,22396,16028,6368,1340,5028,8096,6899,1197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55724,7139,2853,2756,56,22,19,0,4286,4101,45,19,105,16,16215,10481,10099,142,127,34,79,5734,5499,25,91,34,85,17758,13260,12648,313,143,156,0,4498,4359,54,69,16,0,14612,11479,10735,337,217,82,108,3133,2942,32,107,42,10,22373,17259,4248,1240,3008,142,12869,5114,6234208100,4795724400,1438483700,22373,17259,1271,3539,3066,4378,4339,666,5114,731,1066,744,963,1052,558,2029,2096,1823,22373,17259,5715,11544,5114,1290,3824,82013,11211,9138,3172,7446,2073,16276,13679,10111,5998,2597,13188,11681,10263,3193,1507,15007,13826,12736,2512,1181,26331,25130,24460,3289,1201,84842,81724,44464,35624,91,1153,29,363,3118,213,2905,2797,907,324,752,555,259,161,160
"Surry County Public Schools, Virginia",6664,737,196,0,9,50,56,44,28,9,541,5927,1366,79,75,271,207,375,332,27,4561,6562,716,142,142,0,0,0,0,574,530,33,0,11,0,5846,910,910,0,0,0,0,4936,4869,12,2,53,0,47292,51737,40972,NA,NA,NA,NA,NA,51539,65357,47292,30851,62875,50833,64750,50125,37500,38333,47292,17333,52059,51822,37083,54202,66094,37076,47292,54202,29464,68929,57794,NA,59331,64521,44901,NA,NA,NA,NA,NA,64417,16818,59331,64023,50417,63625,48750,37500,38333,59331,35554,51383,75547,103000,59331,50408,64750,59331,68080,64837,68668,44678,45875,44311,63438,43235,30893,55156,22600,24790,20436,NA,24191,NA,5532,17451,24630,13950,2602,391,120,271,2211,140,2071,3228,2702,526,2783,2354,429,331,261,70,6,6,0,32,21,11,31,31,0,45,29,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1412,1412,258,102,106,194,230,243,279,0,1412,70,70,65,5,0,1342,1342,746,216,380,0,2602,1855,1318,537,181,356,747,660,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4958,1099,408,397,11,0,0,0,691,671,20,0,0,0,1677,1087,1087,0,0,0,0,590,590,0,0,0,0,1355,1074,1023,0,0,51,0,281,279,0,0,2,0,827,585,584,1,0,0,0,242,240,0,2,0,0,2080,1204,180,87,93,15,1009,876,378377400,233668700,144708700,2080,1204,172,630,200,154,40,8,876,364,182,34,134,111,51,1128,1208,926,2080,1204,440,764,876,289,587,6916,1276,875,461,598,401,1922,1591,1147,684,331,1459,1274,1097,380,185,1037,939,895,197,98,1222,1160,1061,223,62,6922,6881,3554,3218,7,65,0,37,41,0,41,41,23,15,0,3,0,0,0
"Sussex County Public Schools, Virginia",8095,1200,145,31,7,38,54,13,2,0,1055,6895,1779,78,104,314,468,435,297,83,5116,7916,1153,114,110,4,0,0,0,1039,1011,20,6,0,2,6763,1285,1257,19,7,0,2,5478,5405,30,36,2,5,39635,56676,29991,NA,NA,NA,22500,123750,56818,30833,39635,20433,49645,55469,78942,72143,68618,57500,39635,31250,46078,48466,29877,49104,70492,34420,39635,49104,29068,51000,47500,19651,53520,70056,39356,NA,NA,NA,NA,123750,70194,30417,53520,48294,61304,82083,71250,68158,65875,53520,32708,36827,77279,88472,53520,55882,53011,53520,67885,88487,63551,31007,36538,41875,27000,30709,24188,35917,16546,23647,12189,10408,NA,NA,9021,4173,23962,7487,3704,667,344,323,3037,187,2850,3248,2370,878,2710,2035,675,388,226,162,37,37,0,24,10,14,19,19,0,70,43,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,1919,341,179,101,282,275,404,337,8,1913,95,95,20,75,0,1818,1818,972,107,739,0,3704,2296,1482,814,206,608,1408,1196,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9129,2738,689,675,14,0,0,0,2049,2008,28,0,0,13,3470,1153,1151,1,0,0,1,2317,2291,18,0,8,0,1980,953,930,10,13,0,0,1027,997,27,0,2,1,941,563,527,9,23,0,4,378,353,0,25,0,0,2600,1133,139,43,96,4,990,1467,341137900,182194600,158943300,2600,1133,570,424,32,73,23,11,1467,908,365,83,35,21,55,715,793,626,2600,1133,381,752,1467,432,1035,8056,1676,1355,518,1193,321,2275,1729,1285,810,546,1710,1568,1227,672,142,1195,1156,1067,239,39,1200,1167,1127,154,33,12007,11830,4738,6936,36,13,0,107,177,0,177,154,18,68,0,58,10,23,0
"Tazewell County Public Schools, Virginia",42110,7646,1926,83,147,563,497,292,298,46,5720,34464,6852,412,337,1488,1365,1642,1264,344,27612,41131,7312,1543,1532,0,11,0,0,5769,5668,59,28,9,5,33819,5005,4927,31,23,0,24,28814,28474,61,125,78,76,35693,35946,16066,NA,144181,NA,NA,52958,36060,11723,35693,16909,40684,47954,53226,64868,51719,NA,35693,31693,36553,44419,24777,42547,63034,32862,35693,42547,20654,41007,39038,36711,45080,45083,34643,NA,144612,NA,NA,108625,45288,NA,45080,40786,50929,52872,64539,47083,NA,45080,23930,38335,68750,81033,45080,41847,45723,45080,53975,54512,53302,23854,34931,25217,38299,19713,15280,27468,21358,21589,16704,NA,38048,NA,1538,14649,21659,7671,18294,3026,1798,1228,15268,1687,13581,16324,12571,3753,13832,10857,2975,1808,1297,511,28,10,18,223,135,88,84,41,43,349,231,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8926,8923,1322,991,612,1556,1306,1519,1617,3,8923,412,352,129,223,60,8511,8511,6595,564,1352,0,18294,12739,9974,2765,879,1886,5555,4878,677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32241,7408,1710,1684,0,26,0,0,5698,5649,11,29,9,0,11205,5766,5730,0,16,0,20,5439,5374,31,34,0,0,9468,5647,5625,14,0,0,8,3821,3752,65,4,0,0,4160,3030,2897,5,17,71,40,1130,1072,35,8,7,8,13353,5846,824,202,622,7,5015,7507,1614172700,783015700,831157000,13353,5846,3418,1732,210,125,175,186,7507,5210,1085,389,68,81,674,559,672,475,13353,5846,2771,3075,7507,2151,5356,43368,12229,9470,3211,8138,2759,12427,10098,6877,5502,2329,7704,6698,5549,2221,1006,5453,5107,4601,997,346,5555,5324,5128,667,231,44664,43766,42395,1147,6,165,0,53,898,5,893,889,490,193,179,22,5,9,0
"Virginia Beach City Public Schools, Virginia",413395,31283,12682,685,814,2606,2601,2312,3059,605,18601,382112,104984,6158,4758,19942,20873,21109,26370,5774,277128,401970,29585,8078,7065,572,147,284,10,21507,18375,1110,617,1340,65,372385,66086,60774,2280,1343,1552,137,306299,268703,12127,8172,15680,1617,65219,69517,52853,63304,70821,76094,53805,54437,70148,57888,65219,38825,70237,77863,86610,92529,89539,89356,65219,42108,64579,79150,50122,80012,85449,58108,65219,80012,46775,78370,67319,60349,76285,82702,59993,70648,76809,75313,60439,59071,83573,61017,76285,68640,74692,88166,91419,88328,89321,76285,43735,54630,90245,113619,76285,68957,82158,76285,90682,89953,91176,43778,57751,55491,59445,39832,33899,52014,31934,36121,23400,30741,27251,40517,19136,13204,36989,21265,164944,9580,3582,5998,155364,8723,146641,223833,147247,76586,187095,125641,61454,19427,11019,8408,1550,659,891,2746,1163,1583,3814,2088,1726,9201,6677,2524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104513,104457,17915,11584,5194,17142,17908,16831,17883,56,104435,5272,4843,2017,2826,429,99163,98631,69833,3313,25485,532,164944,112631,83318,29313,6201,23112,52313,39979,12334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290492,18641,8834,7051,745,237,798,3,9807,8278,463,314,711,41,67054,43724,38619,2067,795,2111,132,23330,20830,857,576,957,110,109160,82666,72825,3505,1838,4053,445,26494,23626,890,556,1265,157,95637,73766,64118,2349,2505,4219,575,21871,18616,465,1169,1442,179,105839,85247,20762,5137,15625,603,63882,20592,33957482000,26659344600,7298137400,105839,85247,3894,15573,14695,23327,24732,3026,20592,1242,2393,2177,5373,6971,2436,2356,2298,2608,105839,85247,26899,58348,20592,5670,14922,415407,40410,32663,20444,18753,7747,78406,64652,54955,20890,13754,88136,78414,72441,16156,9722,68686,63452,60578,10050,5234,139769,132833,128316,18496,6936,442151,423184,303342,84745,1388,28135,620,4954,18967,1506,17461,17560,7128,2024,4229,1093,3086,1284,123
"Warren County Public Schools, Virginia",35839,3298,816,0,76,186,198,145,185,26,2482,32541,8118,537,438,1934,1827,1703,1338,341,24423,34840,3207,621,539,64,0,0,18,2586,2424,77,9,35,41,31633,6005,5824,142,20,0,19,25628,24428,635,387,126,52,61610,62427,41863,38782,35078,NA,56181,61667,63021,39926,61610,26234,64824,69380,89535,80478,89208,91250,61610,29214,67500,71324,43299,73604,82601,43866,61610,73604,35689,67054,65982,65089,72597,72735,79199,NA,158636,NA,NA,49063,73192,42865,72597,65444,67831,90607,78625,88000,113750,72597,36406,49627,85435,113362,72597,73288,71875,72597,83915,87590,80994,38851,41042,39438,44125,34083,25960,53689,28889,29587,25085,17148,21809,NA,22003,16505,29996,17567,14387,1290,617,673,13097,933,12164,18133,13801,4332,13882,10749,3133,2809,2052,757,76,76,0,288,77,211,235,102,133,843,745,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8940,8918,1272,999,505,1482,1684,1539,1437,22,8918,723,702,222,480,21,8195,8195,6514,185,1496,0,14387,10147,7663,2484,772,1712,4240,3366,874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25755,4123,2047,1929,51,24,7,36,2076,2030,33,0,0,13,9597,6586,6381,150,27,28,0,3011,2900,76,9,7,19,6747,4987,4879,68,13,16,11,1760,1690,15,27,14,14,5288,4199,3726,246,156,71,0,1089,935,13,134,7,0,10436,7535,1828,628,1200,60,5647,2901,2667344200,2048757200,618587100,10436,7535,968,3366,1413,1213,558,17,2901,747,1101,476,255,175,147,1326,1378,1143,10436,7535,2504,5031,2901,789,2112,37069,4905,3566,1698,2724,1339,6763,5111,3751,2179,1652,7031,6175,5494,1871,856,6910,6341,5808,1059,569,11460,10998,10565,1276,462,37836,36784,34562,1554,90,366,13,199,1052,19,1033,775,306,295,127,22,25,277,0
"Washington County Public Schools, Virginia",51765,6187,1637,111,58,271,406,273,494,24,4550,45578,8946,583,534,1807,2234,2149,1356,283,36632,50695,6046,1094,1006,31,29,0,28,4952,4761,113,44,1,33,44649,6669,6455,69,75,31,39,37980,37371,253,170,92,94,41897,42233,32742,18810,59583,NA,NA,32401,42117,31283,41897,21698,48475,54511,66908,70536,97417,78750,41897,22342,48911,51006,30396,49864,64879,34281,41897,49864,29254,48705,48708,32143,54606,55786,31424,NA,59583,NA,NA,48581,55293,110353,54606,48577,55885,68373,64594,173067,78750,54606,29052,43059,71211,85496,54606,58017,53637,54606,61914,72449,57435,33209,41149,33478,53333,31919,30902,34231,25109,25501,15313,12523,16437,NA,15953,8423,25267,39524,22755,2726,1116,1610,20029,1860,18169,23657,18787,4870,20305,16263,4042,2189,1564,625,70,40,30,250,194,56,138,101,37,705,625,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10697,10691,1577,1107,775,1621,1747,2012,1852,6,10691,787,568,283,285,219,9904,9893,7384,468,2041,11,22755,15546,12084,3462,946,2516,7209,6158,1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39616,6665,1760,1661,46,0,34,19,4905,4855,0,13,3,34,13022,7178,7070,52,37,11,8,5844,5822,6,0,0,16,11112,7321,7248,36,15,22,0,3791,3698,13,66,14,0,8817,6737,6488,174,3,22,50,2080,2034,23,23,0,0,17242,9460,1815,468,1347,42,7603,7782,3077056400,1820156500,1256899900,17242,9460,4442,3217,640,466,509,186,7782,4220,1999,580,228,206,549,773,827,691,17242,9460,3527,5933,7782,2265,5517,53271,10645,8436,3326,6928,2209,15672,13237,9374,6918,2435,10736,9651,8235,3109,1085,7175,6755,6416,1072,420,9043,8548,8162,1019,495,54804,54213,53086,716,73,210,0,128,591,81,510,591,212,183,75,38,83,0,0
"Waynesboro City Public Schools, Virginia",20001,3858,1326,44,46,387,396,236,200,17,2532,16143,3429,260,166,594,846,761,671,131,12714,19502,3744,1098,1087,11,0,0,0,2646,2461,168,15,0,2,15758,2396,2248,56,74,18,0,13362,12743,207,335,53,24,44847,46024,29526,NA,72083,NA,19813,45956,46124,25769,44847,23287,55849,57574,62342,52589,65438,NA,44847,17826,51221,51683,31265,57134,65534,39464,44847,57134,27278,44451,44848,44024,57726,59972,34766,NA,80500,NA,19000,45735,60102,23813,57726,57763,49432,61323,77990,51058,NA,57726,30506,39643,73157,87188,57726,46194,60599,57726,67994,67500,68590,29664,34671,44485,32895,28340,19778,39671,22872,24818,18054,9275,19881,NA,8743,6547,25000,7374,8708,1273,656,617,7435,786,6649,9042,5494,3548,7514,4839,2675,705,434,271,12,0,12,175,48,127,450,43,407,186,130,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4979,4979,753,594,213,764,855,1095,705,0,4979,909,830,464,366,79,4070,4070,2886,106,1078,0,8708,5370,3690,1680,427,1253,3338,2801,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14430,2364,1084,1026,42,13,3,0,1280,1237,0,37,6,0,5731,3272,3214,36,6,0,16,2459,2416,0,31,12,0,3574,2618,2375,125,118,0,0,956,857,26,73,0,0,2761,1936,1828,42,38,20,8,825,779,0,34,12,0,5067,3302,600,149,451,9,2693,1765,937639100,613073900,324565200,5067,3302,1070,1315,430,251,182,54,1765,385,796,256,142,120,66,1097,998,1225,5067,3302,1109,2193,1765,442,1323,20904,4706,3311,1182,2822,1395,5304,4284,2870,2503,1020,4598,3908,3319,1176,690,3605,3409,3046,897,196,2691,2475,2339,351,216,21099,20341,16871,2803,183,212,0,272,758,43,715,702,463,122,7,47,63,42,14
"West Point Town Public Schools, Virginia",3172,357,150,34,0,56,49,2,9,0,207,2815,685,31,11,143,210,152,118,20,2130,3089,330,114,112,0,2,0,0,216,202,9,0,0,5,2759,545,545,0,0,0,0,2214,2125,68,12,0,9,60238,66767,33906,NA,NA,NA,NA,31250,66767,NA,60238,23125,76723,75862,72841,83966,NA,NA,60238,33482,67237,83897,29375,75625,78816,54491,60238,75625,24830,NA,NA,NA,77632,82400,38333,NA,NA,NA,NA,31250,82400,NA,77632,78125,75647,72841,84181,NA,NA,77632,31875,46129,87361,96875,77632,75431,84464,77632,83314,80750,86509,38667,28125,NA,NA,39667,37917,74886,25044,26583,16848,48740,NA,NA,NA,8305,27260,16497,1300,72,41,31,1228,104,1124,1511,1190,321,1212,928,284,62,52,10,12,12,0,60,38,22,0,0,0,165,160,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,829,829,87,83,65,153,151,163,127,0,829,25,25,25,0,0,804,804,550,32,222,0,1300,934,736,198,42,156,366,336,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2258,189,34,34,0,0,0,0,155,148,0,7,0,0,691,453,416,37,0,0,0,238,238,0,0,0,0,712,512,489,14,0,0,9,200,200,0,0,0,0,666,493,488,0,5,0,0,173,151,17,0,0,5,957,610,77,32,45,0,533,347,215218700,142716000,72502700,957,610,59,180,194,98,67,12,347,38,106,68,71,64,0,1671,1655,1717,957,610,286,324,347,91,256,3243,510,314,132,270,196,641,545,477,227,96,530,530,521,79,0,998,953,886,157,45,564,555,506,86,9,3316,3205,2839,337,20,0,0,9,111,0,111,57,17,34,0,6,0,54,0
"Westmoreland County Public Schools, Virginia",13755,1855,326,16,0,119,56,83,52,0,1529,11900,2592,121,119,493,744,466,568,81,9308,13383,1824,292,287,5,0,0,0,1532,1507,7,18,0,0,11559,1752,1730,22,0,0,0,9807,9396,356,55,0,0,50239,51813,44950,NA,NA,NA,NA,75139,52603,50760,50239,27981,55234,53333,54872,67241,63102,56023,50239,51141,59732,47179,43611,53425,61510,37797,50239,53425,22740,65172,36776,26250,56472,59724,46838,NA,NA,NA,NA,NA,64612,50123,56472,56719,49531,54327,65129,39611,56023,56472,46161,45319,70549,60625,56472,50813,59042,56472,64425,63165,65246,37563,45217,29833,53542,36250,31500,40735,25172,27567,21144,NA,NA,NA,10857,16685,29311,10253,5659,673,329,344,4986,557,4429,5462,4410,1052,4322,3471,851,568,415,153,0,0,0,79,37,42,15,9,6,478,478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2950,2950,496,372,115,403,555,513,496,0,2950,323,323,282,41,0,2627,2627,2096,37,494,0,5659,3728,2746,982,326,656,1931,1717,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10239,2097,932,770,162,0,0,0,1165,1137,28,0,0,0,3925,2345,2273,72,0,0,0,1580,1567,0,13,0,0,2698,1502,1451,37,14,0,0,1196,1196,0,0,0,0,1519,874,829,9,36,0,0,645,635,0,10,0,0,4636,2433,456,98,358,0,1977,2203,1072373700,528820900,543552800,4636,2433,1216,658,214,207,103,35,2203,1115,612,102,171,97,106,779,793,756,4636,2433,1004,1429,2203,343,1860,14215,2491,1764,852,1311,727,3131,2274,1662,1464,857,4233,3478,2749,1459,755,1922,1823,1703,376,99,2438,2361,2333,559,77,14294,14160,9111,4967,13,0,0,69,134,9,125,134,89,36,0,0,9,0,0
